"formula","presence","PoreWater_ID","site","depth","Suction_kPa","n"
"C15H22O3",1,"15D","PT","120-150",50,3
"C15H22O3",1,"29D","PT","90-120",50,2
"C15H22O3",1,"21C","PT","60-90",15,2
"C15H22O3",1,"19D","PT","0-30",50,2
"C15H22O3",1,"23D","PT","120-150",50,3
"C15H22O3",1,"22C","PT","90-120",15,3
"C15H22O3",1,"21B","PT","60-90",3,3
"C15H22O3",1,"20B","PT","30-60",3,3
"C15H22O3",1,"46A","GS","30-60",1.5,2
"C15H22O3",1,"47B","GS","60-90",3,2
"C15H22O3",1,"2D","DMT","30-60",50,3
"C15H22O3",1,"37C","PT","90-120",15,3
"C15H22O3",1,"8D","DMT","30-60",50,3
"C15H22O3",1,"36B","PT","60-90",3,3
"C15H22O3",1,"52B","GS","30-60",3,2
"C15H22O3",1,"36A","PT","60-90",1.5,3
"C15H22O3",1,"39C","PT","150-180",15,3
"C15H22O3",1,"1A","DMT","0-30",1.5,2
"C15H22O3",1,"52A","GS","30-60",1.5,2
"C15H22O3",1,"10D","DMT","30-60",50,3
"C15H22O3",1,"14C","PT","90-120",15,3
"C15H22O3",1,"43B","GS","30-60",3,2
"C15H22O3",1,"14D","PT","90-120",50,2
"C15H22O3",1,"16C","PT","150-180",15,3
"C15H22O3",1,"27B2","PT","30-60",3,3
"C13H16O3S1",1,"50B","GS","60-90",3,2
"C13H16O3S1",1,"47B","GS","60-90",3,2
"C13H16O5",1,"25B","PT","180-210",3,2
"C13H16O5",1,"52C","GS","30-60",15,2
"C13H16O5",1,"41D","PT","210-240",50,2
"C13H16O5",1,"33D","PT","210-240",50,2
"C13H16O5",1,"32B","PT","180-210",3,2
"C13H16O5",1,"32C","PT","180-210",15,2
"C13H16O5",1,"53C","GS","30-60",15,2
"C13H16O5",1,"40C","PT","180-210",15,2
"C14H20O4",1,"30D","PT","120-150",50,3
"C14H20O4",1,"33A","PT","210-240",1.5,1
"C14H20O4",1,"15D","PT","120-150",50,3
"C14H20O4",1,"23D","PT","120-150",50,3
"C14H20O4",1,"2D","DMT","30-60",50,2
"C14H20O4",1,"8D","DMT","30-60",50,2
"C15H10S2",1,"32D","PT","180-210",50,2
"C15H10S2",1,"25D","PT","180-210",50,2
"C12H14O4S1",1,"50B","GS","60-90",3,2
"C12H14O4S1",1,"47B","GS","60-90",3,2
"C13H18O3S1",1,"30D","PT","120-150",50,3
"C13H18O3S1",1,"26D","PT","0-30",50,2
"C13H18O3S1",1,"50B","GS","60-90",3,2
"C13H18O3S1",1,"15D","PT","120-150",50,3
"C13H18O3S1",1,"19D","PT","0-30",50,2
"C13H18O3S1",1,"23D","PT","120-150",50,3
"C13H18O3S1",1,"47B","GS","60-90",3,2
"C13H18O3S1",1,"2D","DMT","30-60",50,3
"C13H18O3S1",1,"8D","DMT","30-60",50,3
"C13H18O3S1",1,"10D","DMT","30-60",50,3
"C14H22O4",1,"50B","GS","60-90",3,2
"C14H22O4",1,"28C","PT","60-90",15,2
"C14H22O4",1,"21C","PT","60-90",15,2
"C14H22O4",1,"47B","GS","60-90",3,2
"C16H30O2",1,"46B","GS","30-60",3,2
"C16H30O2",1,"45A","GS","0-30",1.5,3
"C16H30O2",1,"15A","PT","120-150",1.5,3
"C16H30O2",1,"44A","GS","60-90",1.5,3
"C16H30O2",1,"17A","PT","180-210",1.5,2
"C16H30O2",1,"13A","PT","60-90",1.5,4
"C16H30O2",1,"25A","PT","180-210",1.5,2
"C16H30O2",1,"42A","GS","0-30",1.5,3
"C16H30O2",1,"2B","DMT","30-60",3,1
"C16H30O2",1,"12A","PT","30-60",1.5,4
"C16H30O2",1,"28A","PT","60-90",1.5,4
"C16H30O2",1,"7A","DMT","0-30",1.5,2
"C16H30O2",1,"21C","PT","60-90",15,2
"C16H30O2",1,"19D","PT","0-30",50,2
"C16H30O2",1,"46A","GS","30-60",1.5,3
"C16H30O2",1,"47B","GS","60-90",3,2
"C16H30O2",1,"8A","DMT","30-60",1.5,2
"C16H30O2",1,"24C","PT","150-180",15,3
"C16H30O2",1,"34C","PT","0-30",15,3
"C16H30O2",1,"24D","PT","150-180",50,3
"C16H30O2",1,"34D","PT","0-30",50,2
"C16H30O2",1,"30C","PT","120-150",15,2
"C16H30O2",1,"41D","PT","210-240",50,3
"C16H30O2",1,"1C","DMT","0-30",15,1
"C16H30O2",1,"33D","PT","210-240",50,3
"C16H30O2",1,"1B","DMT","0-30",3,1
"C16H30O2",1,"26C","PT","0-30",15,3
"C16H30O2",1,"22B","PT","90-120",3,3
"C16H30O2",1,"23C","PT","120-150",15,2
"C16H30O2",1,"6A","DMT","60-90",1.5,1
"C16H30O2",1,"38A","PT","120-150",1.5,3
"C16H30O2",1,"39D","PT","150-180",50,3
"C16H30O2",1,"53B","GS","60-90",3,2
"C16H30O2",1,"35A","PT","30-60",1.5,4
"C16H30O2",1,"52B","GS","30-60",3,2
"C16H30O2",1,"37B","PT","90-120",3,3
"C16H30O2",1,"22A","PT","90-120",1.5,3
"C16H30O2",1,"36A","PT","60-90",1.5,4
"C16H30O2",1,"39C","PT","150-180",15,3
"C16H30O2",1,"1A","DMT","0-30",1.5,2
"C16H30O2",1,"52A","GS","30-60",1.5,3
"C16H30O2",1,"20A","PT","30-60",1.5,4
"C16H30O2",1,"23A","PT","120-150",1.5,3
"C16H30O2",1,"51A","GS","0-30",1.5,3
"C16H30O2",1,"37A","PT","90-120",1.5,3
"C16H30O2",1,"53A","GS","60-90",1.5,3
"C16H30O2",1,"2C","DMT","30-60",15,1
"C16H30O2",1,"16D","PT","150-180",50,3
"C16H30O2",1,"5A","DMT","30-60",1.5,2
"C16H30O2",1,"50A","GS","60-90",1.5,3
"C16H30O2",1,"49A","GS","30-60",1.5,3
"C16H30O2",1,"29B2","PT","90-120",3,3
"C16H30O2",1,"18D","PT","210-240",50,3
"C16H30O2",1,"16C","PT","150-180",15,3
"C16H30O2",1,"21A","PT","60-90",1.5,4
"C16H30O2",1,"13C","PT","60-90",15,2
"C16H30O2",1,"11C","PT","0-30",15,3
"C16H30O2",1,"27A","PT","30-60",1.5,4
"C16H30O2",1,"29A","PT","90-120",1.5,3
"C8H3O5N1S1P1",1,"33A","PT","210-240",1.5,1
"C11H12O5S1",1,"44A","GS","60-90",1.5,3
"C11H12O5S1",1,"11B","PT","0-30",3,3
"C11H12O5S1",1,"12A","PT","30-60",1.5,3
"C11H12O5S1",1,"26D","PT","0-30",50,3
"C11H12O5S1",1,"42B","GS","0-30",3,2
"C11H12O5S1",1,"25B","PT","180-210",3,2
"C11H12O5S1",1,"19D","PT","0-30",50,3
"C11H12O5S1",1,"19B","PT","0-30",3,3
"C11H12O5S1",1,"47B","GS","60-90",3,2
"C11H12O5S1",1,"2D","DMT","30-60",50,3
"C11H12O5S1",1,"8D","DMT","30-60",50,3
"C11H12O5S1",1,"8A","DMT","30-60",1.5,2
"C11H12O5S1",1,"45B","GS","0-30",3,2
"C11H12O5S1",1,"34C","PT","0-30",15,3
"C11H12O5S1",1,"24D","PT","150-180",50,2
"C11H12O5S1",1,"34D","PT","0-30",50,3
"C11H12O5S1",1,"30C","PT","120-150",15,2
"C11H12O5S1",1,"34B","PT","0-30",3,3
"C11H12O5S1",1,"52C","GS","30-60",15,3
"C11H12O5S1",1,"1C","DMT","0-30",15,1
"C11H12O5S1",1,"49D","GS","30-60",50,1
"C11H12O5S1",1,"32D","PT","180-210",50,2
"C11H12O5S1",1,"46C","GS","30-60",15,3
"C11H12O5S1",1,"1B","DMT","0-30",3,1
"C11H12O5S1",1,"32B","PT","180-210",3,2
"C11H12O5S1",1,"32C","PT","180-210",15,2
"C11H12O5S1",1,"25D","PT","180-210",50,2
"C11H12O5S1",1,"26C","PT","0-30",15,3
"C11H12O5S1",1,"53C","GS","30-60",15,3
"C11H12O5S1",1,"23C","PT","120-150",15,2
"C11H12O5S1",1,"40C","PT","180-210",15,2
"C11H12O5S1",1,"53B","GS","60-90",3,2
"C11H12O5S1",1,"35A","PT","30-60",1.5,3
"C11H12O5S1",1,"52A","GS","30-60",1.5,2
"C11H12O5S1",1,"20A","PT","30-60",1.5,3
"C11H12O5S1",1,"10D","DMT","30-60",50,3
"C11H12O5S1",1,"2C","DMT","30-60",15,1
"C11H12O5S1",1,"16D","PT","150-180",50,2
"C11H12O5S1",1,"5A","DMT","30-60",1.5,2
"C11H12O5S1",1,"50A","GS","60-90",1.5,3
"C11H12O5S1",1,"49A","GS","30-60",1.5,2
"C11H12O5S1",1,"47A","GS","60-90",1.5,3
"C11H12O5S1",1,"11C","PT","0-30",15,3
"C12H16O4S1",1,"26D","PT","0-30",50,2
"C12H16O4S1",1,"50B","GS","60-90",3,2
"C12H16O4S1",1,"25B","PT","180-210",3,2
"C12H16O4S1",1,"47B","GS","60-90",3,2
"C12H16O4S1",1,"2D","DMT","30-60",50,3
"C12H16O4S1",1,"8D","DMT","30-60",50,3
"C12H16O4S1",1,"34D","PT","0-30",50,2
"C12H16O4S1",1,"32B","PT","180-210",3,2
"C12H16O4S1",1,"10D","DMT","30-60",50,3
"C13H20O3S1",1,"15C","PT","120-150",15,2
"C13H20O3S1",1,"1C","DMT","0-30",15,1
"C13H20O3S1",1,"1B","DMT","0-30",3,1
"C13H20O3S1",1,"23C","PT","120-150",15,2
"C12H28N6",1,"15C","PT","120-150",15,2
"C12H28N6",1,"25B","PT","180-210",3,2
"C12H28N6",1,"30C","PT","120-150",15,2
"C12H28N6",1,"40B","PT","180-210",3,2
"C16H32O2",1,"46B","GS","30-60",3,3
"C16H32O2",1,"16A","PT","150-180",1.5,3
"C16H32O2",1,"45A","GS","0-30",1.5,4
"C16H32O2",1,"15A","PT","120-150",1.5,4
"C16H32O2",1,"44A","GS","60-90",1.5,4
"C16H32O2",1,"17A","PT","180-210",1.5,2
"C16H32O2",1,"29C","PT","90-120",15,4
"C16H32O2",1,"13B","PT","60-90",3,4
"C16H32O2",1,"13A","PT","60-90",1.5,3
"C16H32O2",1,"11A","PT","0-30",1.5,4
"C16H32O2",1,"31C","PT","150-180",15,4
"C16H32O2",1,"11B","PT","0-30",3,3
"C16H32O2",1,"14B","PT","90-120",3,4
"C16H32O2",1,"25A","PT","180-210",1.5,2
"C16H32O2",1,"12D","PT","30-60",50,4
"C16H32O2",1,"42A","GS","0-30",1.5,4
"C16H32O2",1,"2B","DMT","30-60",3,1
"C16H32O2",1,"12A","PT","30-60",1.5,4
"C16H32O2",1,"28A","PT","60-90",1.5,3
"C16H32O2",1,"15C","PT","120-150",15,3
"C16H32O2",1,"30D","PT","120-150",50,4
"C16H32O2",1,"26D","PT","0-30",50,3
"C16H32O2",1,"27D","PT","30-60",50,4
"C16H32O2",1,"28D","PT","60-90",50,2
"C16H32O2",1,"7A","DMT","0-30",1.5,2
"C16H32O2",1,"50B","GS","60-90",3,3
"C16H32O2",1,"33A","PT","210-240",1.5,1
"C16H32O2",1,"28C","PT","60-90",15,3
"C16H32O2",1,"15D","PT","120-150",50,4
"C16H32O2",1,"42B","GS","0-30",3,2
"C16H32O2",1,"15B","PT","120-150",3,5
"C16H32O2",1,"16B","PT","150-180",3,4
"C16H32O2",1,"25B","PT","180-210",3,2
"C16H32O2",1,"29D","PT","90-120",50,2
"C16H32O2",1,"21C","PT","60-90",15,3
"C16H32O2",1,"19D","PT","0-30",50,3
"C16H32O2",1,"23D","PT","120-150",50,4
"C16H32O2",1,"22C","PT","90-120",15,4
"C16H32O2",1,"30B","PT","120-150",3,5
"C16H32O2",1,"19B","PT","0-30",3,3
"C16H32O2",1,"21B","PT","60-90",3,4
"C16H32O2",1,"23B","PT","120-150",3,5
"C16H32O2",1,"46A","GS","30-60",1.5,3
"C16H32O2",1,"47B","GS","60-90",3,3
"C16H32O2",1,"2D","DMT","30-60",50,3
"C16H32O2",1,"37C","PT","90-120",15,4
"C16H32O2",1,"8D","DMT","30-60",50,3
"C16H32O2",1,"8A","DMT","30-60",1.5,2
"C16H32O2",1,"19A2","PT","0-30",1.5,4
"C16H32O2",1,"33B","PT","210-240",3,2
"C16H32O2",1,"45B","GS","0-30",3,2
"C16H32O2",1,"36D","PT","60-90",50,2
"C16H32O2",1,"24C","PT","150-180",15,4
"C16H32O2",1,"34C","PT","0-30",15,3
"C16H32O2",1,"24D","PT","150-180",50,3
"C16H32O2",1,"36B","PT","60-90",3,4
"C16H32O2",1,"40D","PT","180-210",50,3
"C16H32O2",1,"24B","PT","150-180",3,4
"C16H32O2",1,"35D","PT","30-60",50,4
"C16H32O2",1,"45A2","GS","0-30",1.5,4
"C16H32O2",1,"34D","PT","0-30",50,3
"C16H32O2",1,"30C","PT","120-150",15,3
"C16H32O2",1,"34B","PT","0-30",3,3
"C16H32O2",1,"31B","PT","150-180",3,4
"C16H32O2",1,"52C","GS","30-60",15,3
"C16H32O2",1,"41D","PT","210-240",50,3
"C16H32O2",1,"1C","DMT","0-30",15,1
"C16H32O2",1,"33D","PT","210-240",50,3
"C16H32O2",1,"49D","GS","30-60",50,1
"C16H32O2",1,"32D","PT","180-210",50,3
"C16H32O2",1,"46C","GS","30-60",15,3
"C16H32O2",1,"1B","DMT","0-30",3,1
"C16H32O2",1,"32B","PT","180-210",3,2
"C16H32O2",1,"35C","PT","30-60",15,2
"C16H32O2",1,"32C","PT","180-210",15,2
"C16H32O2",1,"25D","PT","180-210",50,3
"C16H32O2",1,"26C","PT","0-30",15,3
"C16H32O2",1,"30A","PT","120-150",1.5,4
"C16H32O2",1,"34A","PT","0-30",1.5,4
"C16H32O2",1,"38D","PT","120-150",50,4
"C16H32O2",1,"22B","PT","90-120",3,4
"C16H32O2",1,"53C","GS","30-60",15,3
"C16H32O2",1,"23C","PT","120-150",15,3
"C16H32O2",1,"40C","PT","180-210",15,2
"C16H32O2",1,"24A","PT","150-180",1.5,3
"C16H32O2",1,"6A","DMT","60-90",1.5,1
"C16H32O2",1,"38A","PT","120-150",1.5,4
"C16H32O2",1,"39D","PT","150-180",50,3
"C16H32O2",1,"53B","GS","60-90",3,3
"C16H32O2",1,"35A","PT","30-60",1.5,4
"C16H32O2",1,"52B","GS","30-60",3,3
"C16H32O2",1,"39A","PT","150-180",1.5,3
"C16H32O2",1,"37B","PT","90-120",3,4
"C16H32O2",1,"38B2","PT","120-150",3,5
"C16H32O2",1,"22A","PT","90-120",1.5,2
"C16H32O2",1,"20C","PT","30-60",15,2
"C16H32O2",1,"20D","PT","30-60",50,4
"C16H32O2",1,"39B2","PT","150-180",3,4
"C16H32O2",1,"38B","PT","120-150",3,5
"C16H32O2",1,"39C","PT","150-180",15,4
"C16H32O2",1,"1A","DMT","0-30",1.5,2
"C16H32O2",1,"52A","GS","30-60",1.5,3
"C16H32O2",1,"20A","PT","30-60",1.5,4
"C16H32O2",1,"10D","DMT","30-60",50,3
"C16H32O2",1,"23A","PT","120-150",1.5,4
"C16H32O2",1,"51A","GS","0-30",1.5,4
"C16H32O2",1,"37A","PT","90-120",1.5,2
"C16H32O2",1,"53A","GS","60-90",1.5,4
"C16H32O2",1,"26A","PT","0-30",1.5,4
"C16H32O2",1,"2C","DMT","30-60",15,1
"C16H32O2",1,"16D","PT","150-180",50,3
"C16H32O2",1,"5A","DMT","30-60",1.5,2
"C16H32O2",1,"50A","GS","60-90",1.5,4
"C16H32O2",1,"49A","GS","30-60",1.5,3
"C16H32O2",1,"14C","PT","90-120",15,4
"C16H32O2",1,"28B2","PT","60-90",3,4
"C16H32O2",1,"29B2","PT","90-120",3,4
"C16H32O2",1,"43B","GS","30-60",3,3
"C16H32O2",1,"14D","PT","90-120",50,2
"C16H32O2",1,"18D","PT","210-240",50,3
"C16H32O2",1,"47A","GS","60-90",1.5,4
"C16H32O2",1,"16C","PT","150-180",15,4
"C16H32O2",1,"21A","PT","60-90",1.5,3
"C16H32O2",1,"13C","PT","60-90",15,3
"C16H32O2",1,"11C","PT","0-30",15,3
"C16H32O2",1,"27A","PT","30-60",1.5,4
"C16H32O2",1,"33B2","PT","210-240",3,2
"C8H2O4S2P1",1,"2B","DMT","30-60",3,1
"C11H15O4N1S1",1,"46B","GS","30-60",3,2
"C11H15O4N1S1",1,"45A","GS","0-30",1.5,3
"C11H15O4N1S1",1,"29C","PT","90-120",15,3
"C11H15O4N1S1",1,"31C","PT","150-180",15,3
"C11H15O4N1S1",1,"30D","PT","120-150",50,3
"C11H15O4N1S1",1,"26D","PT","0-30",50,3
"C11H15O4N1S1",1,"27D","PT","30-60",50,3
"C11H15O4N1S1",1,"28D","PT","60-90",50,2
"C11H15O4N1S1",1,"50B","GS","60-90",3,3
"C11H15O4N1S1",1,"33A","PT","210-240",1.5,1
"C11H15O4N1S1",1,"28C","PT","60-90",15,2
"C11H15O4N1S1",1,"25B","PT","180-210",3,2
"C11H15O4N1S1",1,"21C","PT","60-90",15,2
"C11H15O4N1S1",1,"19D","PT","0-30",50,3
"C11H15O4N1S1",1,"23D","PT","120-150",50,3
"C11H15O4N1S1",1,"22C","PT","90-120",15,3
"C11H15O4N1S1",1,"30B","PT","120-150",3,4
"C11H15O4N1S1",1,"21B","PT","60-90",3,3
"C11H15O4N1S1",1,"23B","PT","120-150",3,4
"C11H15O4N1S1",1,"46A","GS","30-60",1.5,3
"C11H15O4N1S1",1,"47B","GS","60-90",3,3
"C11H15O4N1S1",1,"37C","PT","90-120",15,3
"C11H15O4N1S1",1,"8D","DMT","30-60",50,2
"C11H15O4N1S1",1,"8A","DMT","30-60",1.5,2
"C11H15O4N1S1",1,"33B","PT","210-240",3,2
"C11H15O4N1S1",1,"36D","PT","60-90",50,2
"C11H15O4N1S1",1,"24C","PT","150-180",15,3
"C11H15O4N1S1",1,"34C","PT","0-30",15,2
"C11H15O4N1S1",1,"24D","PT","150-180",50,2
"C11H15O4N1S1",1,"36B","PT","60-90",3,3
"C11H15O4N1S1",1,"40D","PT","180-210",50,3
"C11H15O4N1S1",1,"24B","PT","150-180",3,3
"C11H15O4N1S1",1,"35D","PT","30-60",50,3
"C11H15O4N1S1",1,"45A2","GS","0-30",1.5,3
"C11H15O4N1S1",1,"34D","PT","0-30",50,3
"C11H15O4N1S1",1,"30C","PT","120-150",15,2
"C11H15O4N1S1",1,"31B","PT","150-180",3,3
"C11H15O4N1S1",1,"52C","GS","30-60",15,3
"C11H15O4N1S1",1,"41D","PT","210-240",50,2
"C11H15O4N1S1",1,"33D","PT","210-240",50,2
"C11H15O4N1S1",1,"49D","GS","30-60",50,1
"C11H15O4N1S1",1,"32D","PT","180-210",50,3
"C11H15O4N1S1",1,"46C","GS","30-60",15,3
"C11H15O4N1S1",1,"32B","PT","180-210",3,2
"C11H15O4N1S1",1,"35C","PT","30-60",15,2
"C11H15O4N1S1",1,"32C","PT","180-210",15,2
"C11H15O4N1S1",1,"25D","PT","180-210",50,3
"C11H15O4N1S1",1,"26C","PT","0-30",15,2
"C11H15O4N1S1",1,"30A","PT","120-150",1.5,3
"C11H15O4N1S1",1,"38D","PT","120-150",50,3
"C11H15O4N1S1",1,"22B","PT","90-120",3,3
"C11H15O4N1S1",1,"53C","GS","30-60",15,3
"C11H15O4N1S1",1,"23C","PT","120-150",15,2
"C11H15O4N1S1",1,"40C","PT","180-210",15,2
"C11H15O4N1S1",1,"38A","PT","120-150",1.5,3
"C11H15O4N1S1",1,"39D","PT","150-180",50,2
"C11H15O4N1S1",1,"53B","GS","60-90",3,3
"C11H15O4N1S1",1,"35A","PT","30-60",1.5,3
"C11H15O4N1S1",1,"52B","GS","30-60",3,2
"C11H15O4N1S1",1,"37B","PT","90-120",3,3
"C11H15O4N1S1",1,"38B2","PT","120-150",3,4
"C11H15O4N1S1",1,"22A","PT","90-120",1.5,3
"C11H15O4N1S1",1,"20C","PT","30-60",15,2
"C11H15O4N1S1",1,"20D","PT","30-60",50,3
"C11H15O4N1S1",1,"39B2","PT","150-180",3,3
"C11H15O4N1S1",1,"38B","PT","120-150",3,4
"C11H15O4N1S1",1,"39C","PT","150-180",15,3
"C11H15O4N1S1",1,"52A","GS","30-60",1.5,3
"C11H15O4N1S1",1,"20A","PT","30-60",1.5,3
"C11H15O4N1S1",1,"10D","DMT","30-60",50,2
"C11H15O4N1S1",1,"23A","PT","120-150",1.5,3
"C11H15O4N1S1",1,"51A","GS","0-30",1.5,3
"C11H15O4N1S1",1,"37A","PT","90-120",1.5,3
"C11H15O4N1S1",1,"53A","GS","60-90",1.5,3
"C11H15O4N1S1",1,"5A","DMT","30-60",1.5,2
"C11H15O4N1S1",1,"50A","GS","60-90",1.5,3
"C11H15O4N1S1",1,"49A","GS","30-60",1.5,3
"C11H15O4N1S1",1,"28B2","PT","60-90",3,3
"C11H15O4N1S1",1,"29B2","PT","90-120",3,3
"C11H15O4N1S1",1,"47A","GS","60-90",1.5,3
"C11H15O4N1S1",1,"27A","PT","30-60",1.5,3
"C11H15O4N1S1",1,"33B2","PT","210-240",3,2
"C11H15O4N1S1",1,"29A","PT","90-120",1.5,3
"C15H14S2",1,"45D","GS","0-30",50,3
"C15H14S2",1,"48D","GS","0-30",50,3
"C15H14S2",1,"34C","PT","0-30",15,2
"C15H14S2",1,"32D","PT","180-210",50,2
"C15H14S2",1,"32B","PT","180-210",3,2
"C15H14S2",1,"25D","PT","180-210",50,2
"C15H14S2",1,"26C","PT","0-30",15,2
"C15H14S2",1,"40B","PT","180-210",3,2
"C15H14S2",1,"51D","GS","0-30",50,3
"C11H14O5S1",1,"46B","GS","30-60",3,3
"C11H14O5S1",1,"16A","PT","150-180",1.5,4
"C11H14O5S1",1,"45A","GS","0-30",1.5,4
"C11H14O5S1",1,"15A","PT","120-150",1.5,4
"C11H14O5S1",1,"44A","GS","60-90",1.5,4
"C11H14O5S1",1,"17A","PT","180-210",1.5,2
"C11H14O5S1",1,"29C","PT","90-120",15,4
"C11H14O5S1",1,"13B","PT","60-90",3,4
"C11H14O5S1",1,"13A","PT","60-90",1.5,3
"C11H14O5S1",1,"11A","PT","0-30",1.5,4
"C11H14O5S1",1,"31C","PT","150-180",15,4
"C11H14O5S1",1,"11B","PT","0-30",3,3
"C11H14O5S1",1,"14B","PT","90-120",3,4
"C11H14O5S1",1,"25A","PT","180-210",1.5,2
"C11H14O5S1",1,"12D","PT","30-60",50,3
"C11H14O5S1",1,"42A","GS","0-30",1.5,4
"C11H14O5S1",1,"2B","DMT","30-60",3,1
"C11H14O5S1",1,"12A","PT","30-60",1.5,4
"C11H14O5S1",1,"28A","PT","60-90",1.5,3
"C11H14O5S1",1,"15C","PT","120-150",15,3
"C11H14O5S1",1,"12B","PT","30-60",3,3
"C11H14O5S1",1,"30D","PT","120-150",50,4
"C11H14O5S1",1,"26D","PT","0-30",50,3
"C11H14O5S1",1,"28D","PT","60-90",50,2
"C11H14O5S1",1,"7A","DMT","0-30",1.5,2
"C11H14O5S1",1,"50B","GS","60-90",3,3
"C11H14O5S1",1,"33A","PT","210-240",1.5,1
"C11H14O5S1",1,"28C","PT","60-90",15,3
"C11H14O5S1",1,"15D","PT","120-150",50,4
"C11H14O5S1",1,"42B","GS","0-30",3,2
"C11H14O5S1",1,"16B","PT","150-180",3,4
"C11H14O5S1",1,"25B","PT","180-210",3,2
"C11H14O5S1",1,"29D","PT","90-120",50,2
"C11H14O5S1",1,"21C","PT","60-90",15,3
"C11H14O5S1",1,"19D","PT","0-30",50,3
"C11H14O5S1",1,"23D","PT","120-150",50,4
"C11H14O5S1",1,"22C","PT","90-120",15,4
"C11H14O5S1",1,"19B","PT","0-30",3,3
"C11H14O5S1",1,"21B","PT","60-90",3,4
"C11H14O5S1",1,"20B","PT","30-60",3,3
"C11H14O5S1",1,"46A","GS","30-60",1.5,3
"C11H14O5S1",1,"47B","GS","60-90",3,3
"C11H14O5S1",1,"2D","DMT","30-60",50,3
"C11H14O5S1",1,"37C","PT","90-120",15,4
"C11H14O5S1",1,"8D","DMT","30-60",50,3
"C11H14O5S1",1,"8A","DMT","30-60",1.5,2
"C11H14O5S1",1,"19A2","PT","0-30",1.5,4
"C11H14O5S1",1,"33B","PT","210-240",3,2
"C11H14O5S1",1,"45B","GS","0-30",3,2
"C11H14O5S1",1,"36D","PT","60-90",50,2
"C11H14O5S1",1,"24C","PT","150-180",15,4
"C11H14O5S1",1,"34C","PT","0-30",15,3
"C11H14O5S1",1,"24D","PT","150-180",50,3
"C11H14O5S1",1,"36B","PT","60-90",3,4
"C11H14O5S1",1,"40D","PT","180-210",50,3
"C11H14O5S1",1,"24B","PT","150-180",3,4
"C11H14O5S1",1,"35D","PT","30-60",50,3
"C11H14O5S1",1,"45A2","GS","0-30",1.5,4
"C11H14O5S1",1,"34D","PT","0-30",50,3
"C11H14O5S1",1,"30C","PT","120-150",15,3
"C11H14O5S1",1,"34B","PT","0-30",3,3
"C11H14O5S1",1,"31B","PT","150-180",3,4
"C11H14O5S1",1,"52C","GS","30-60",15,3
"C11H14O5S1",1,"41D","PT","210-240",50,3
"C11H14O5S1",1,"1C","DMT","0-30",15,1
"C11H14O5S1",1,"33D","PT","210-240",50,3
"C11H14O5S1",1,"49D","GS","30-60",50,1
"C11H14O5S1",1,"32D","PT","180-210",50,3
"C11H14O5S1",1,"46C","GS","30-60",15,3
"C11H14O5S1",1,"1B","DMT","0-30",3,1
"C11H14O5S1",1,"32B","PT","180-210",3,2
"C11H14O5S1",1,"35C","PT","30-60",15,2
"C11H14O5S1",1,"32C","PT","180-210",15,2
"C11H14O5S1",1,"25D","PT","180-210",50,3
"C11H14O5S1",1,"26C","PT","0-30",15,3
"C11H14O5S1",1,"30A","PT","120-150",1.5,4
"C11H14O5S1",1,"34A","PT","0-30",1.5,4
"C11H14O5S1",1,"38D","PT","120-150",50,4
"C11H14O5S1",1,"22B","PT","90-120",3,4
"C11H14O5S1",1,"53C","GS","30-60",15,3
"C11H14O5S1",1,"23C","PT","120-150",15,3
"C11H14O5S1",1,"40C","PT","180-210",15,2
"C11H14O5S1",1,"24A","PT","150-180",1.5,4
"C11H14O5S1",1,"6A","DMT","60-90",1.5,1
"C11H14O5S1",1,"38A","PT","120-150",1.5,4
"C11H14O5S1",1,"39D","PT","150-180",50,3
"C11H14O5S1",1,"53B","GS","60-90",3,3
"C11H14O5S1",1,"35A","PT","30-60",1.5,4
"C11H14O5S1",1,"52B","GS","30-60",3,3
"C11H14O5S1",1,"31A","PT","150-180",1.5,4
"C11H14O5S1",1,"39A","PT","150-180",1.5,4
"C11H14O5S1",1,"37B","PT","90-120",3,4
"C11H14O5S1",1,"22A","PT","90-120",1.5,3
"C11H14O5S1",1,"20C","PT","30-60",15,2
"C11H14O5S1",1,"20D","PT","30-60",50,3
"C11H14O5S1",1,"39B2","PT","150-180",3,4
"C11H14O5S1",1,"39C","PT","150-180",15,4
"C11H14O5S1",1,"1A","DMT","0-30",1.5,2
"C11H14O5S1",1,"52A","GS","30-60",1.5,3
"C11H14O5S1",1,"20A","PT","30-60",1.5,4
"C11H14O5S1",1,"10D","DMT","30-60",50,3
"C11H14O5S1",1,"23A","PT","120-150",1.5,4
"C11H14O5S1",1,"51A","GS","0-30",1.5,4
"C11H14O5S1",1,"37A","PT","90-120",1.5,3
"C11H14O5S1",1,"53A","GS","60-90",1.5,4
"C11H14O5S1",1,"26A","PT","0-30",1.5,4
"C11H14O5S1",1,"2C","DMT","30-60",15,1
"C11H14O5S1",1,"16D","PT","150-180",50,3
"C11H14O5S1",1,"5A","DMT","30-60",1.5,2
"C11H14O5S1",1,"50A","GS","60-90",1.5,4
"C11H14O5S1",1,"49A","GS","30-60",1.5,3
"C11H14O5S1",1,"14C","PT","90-120",15,4
"C11H14O5S1",1,"28B2","PT","60-90",3,4
"C11H14O5S1",1,"29B2","PT","90-120",3,4
"C11H14O5S1",1,"43B","GS","30-60",3,3
"C11H14O5S1",1,"14D","PT","90-120",50,2
